id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,New Classification,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,language,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,,Classification
1.43E+18,1.43E+18,2021-08-20 01:27:53 UTC,8/20/2021,1:27:53,0,1.03E+18,lisamharris71,Lisa Harris,,"@Franktheshank88 Should have never been elected. Failure of education system, plus bad genetics",Blame the Government,[],[],[],0,0,2,[],[],en,https://twitter.com/Lisamharris71/status/1428529184410935296,FALSE,,0,,,"29.58,-90.71,100km",,,,,"[{'screen_name': 'Franktheshank88', 'name': 'Franktheshank808', 'id': '961113187453165569'}]",,,,,,Blame the Government
1.43E+18,1.43E+18,2021-08-20 18:28:08 UTC,8/20/2021,18:28:08,0,24286893,chancejolivette,Chance Jolivette,"{'type': 'Point', 'coordinates': [31.0, -92.0]}","?�?You learn more from failure than from success. Don?�?t let it stop you. Failure builds character.?�? ?�? Unknown  Fabletics haul for august, link in bio   #fableticsmenpromoter @ Louisiana  https://t.co/ZnUH9eNGIc",Other,[],['https://www.instagram.com/p/CSzmer1H7_R/?utm_medium=twitter'],[],0,0,0,['fableticsmenpromoter'],[],en,https://twitter.com/ChanceJolivette/status/1428785939053088772,FALSE,,0,,,"31.69,-93.02,100km",,,,,[],,,,,,House Damage
1.43E+18,1.43E+18,2021-08-20 22:11:14 UTC,8/20/2021,22:11:14,0,2448376469,theimanirenee,cheer up big purr,,this fucking rain!!!!!! pissing me off,Other,[],[],[],0,0,0,[],[],en,https://twitter.com/theimanirenee/status/1428842085780701195,FALSE,,0,,,"31.69,-93.02,100km",,,,,[],,,,,,Power Loss
1.43E+18,1.43E+18,2021-08-20 21:48:30 UTC,8/20/2021,21:48:30,0,1.23E+18,rerekaash1,- Rerizzleee ????,,Chile ain?�?t no day party it?�?s about to rain ????,Other,[],[],[],0,0,1,[],[],en,https://twitter.com/rerekaash1/status/1428836364091547648,FALSE,,0,,,"31.69,-93.02,100km",,,,,[],,,,,,Power Loss Duration
1.43E+18,1.43E+18,2021-08-20 14:37:53 UTC,8/20/2021,14:37:53,0,1599549283,itsallaboutjayy,Jay Griffin IV,,Thankful ???????? the rain stopped,Other,[],[],[],0,0,0,[],[],en,https://twitter.com/itsAllAboutJayy/status/1428727996815446017,FALSE,,0,,,"31.69,-93.02,100km",,,,,[],,,,,,Evacuation
1.43E+18,1.43E+18,2021-08-20 03:26:03 UTC,8/20/2021,3:26:03,0,603863483,stacylynnwhite1,Stacy Lynn Windham,,@KalebBench @travisstaylor1 Please get some water,Other,[],[],[],0,0,0,[],[],en,https://twitter.com/stacylynnwhite1/status/1428558925054492676,FALSE,,0,,,"31.69,-93.02,100km",,,,,"[{'screen_name': 'KalebBench', 'name': 'kaleb bench', 'id': '1142567269664354304'}, {'screen_name': 'travisstaylor1', 'name': 'Travis S Taylor', 'id': '3085615660'}]",,,,,,Prepare for the coming Hurricane
1.43E+18,1.43E+18,2021-08-20 22:14:16 UTC,8/20/2021,22:14:16,0,9.27E+17,koogodumb,.,,Cuddle weather again. With nobody to cuddle with AGAIN. This that bullshit.,Other,[],[],[],0,2,5,[],[],en,https://twitter.com/koogodumb/status/1428842849185980421,FALSE,,0,,,"32.45,-91.49,100km",,,,,[],,,,,,Water Loss
1.43E+18,1.43E+18,2021-08-20 21:38:41 UTC,8/20/2021,21:38:41,0,233260289,_rals_,Rals J ????,,This weather is crazy lol,Other,[],[],[],0,0,0,[],[],en,https://twitter.com/_rals_/status/1428833893977890823,FALSE,,0,,,"32.45,-91.49,100km",,,,,[],,,,,,Water Loss Duration
1.43E+18,1.43E+18,2021-08-20 20:32:53 UTC,8/20/2021,20:32:53,0,319921894,yunglordkari,Red WinePapi,,Boy we got some shitty weather this weekend,Other,[],[],[],0,0,0,[],[],en,https://twitter.com/YunglordKari/status/1428817335964549124,FALSE,,0,,,"32.45,-91.49,100km",,,,,[],,,,,,Media Information
1.43E+18,1.43E+18,2021-08-20 01:17:28 UTC,8/20/2021,1:17:28,0,1616811744,loveedestiny__,dess ????,,hungry af. but i am not getting out in this weather ????,Other,[],[],[],0,0,0,[],[],en,https://twitter.com/loveedestiny__/status/1428526562995998726,FALSE,,0,,,"32.45,-91.49,100km",,,,,[],,,,,,Injury
