Location,Latitude,Longitude
Abbeville city,29.97,-92.13
Abita Springs town,30.48,-90.03
Addis town,30.37,-91.27
Albany village,30.5,-90.58
Alexandria city,31.29,-92.47
Ama,29.94,-90.3
Amelia,29.66,-91.11
Amite City town,30.73,-90.51
Anacoco village,31.25,-93.34
Angie village,30.96,-89.82
Arabi,29.96,-90
Arcadia town,32.55,-92.92
Arnaudville town,30.4,-91.93
Ashland village,32.12,-93.12
Athens village,32.65,-93.03
Atlanta village,31.81,-92.74
Avondale,29.91,-90.19
Baker city,30.58,-91.16
Baldwin town,29.84,-91.55
Ball town,31.42,-92.41
Banks Springs,32.08,-92.09
Barataria,29.71,-90.12
Basile town,30.49,-92.6
Baskin village,32.26,-91.75
Bastrop city,32.77,-91.91
Baton Rouge city,30.45,-91.13
Bawcomville,32.47,-92.17
Bayou Blue,29.63,-90.67
Bayou Cane,29.62,-90.75
Bayou Country Club,29.78,-90.79
Bayou Gauche,29.81,-90.42
Bayou Goula,30.21,-91.18
Bayou L'Ourse,29.72,-91.06
Bayou Vista,29.69,-91.27
Belcher village,32.75,-93.84
Belle Chasse,29.85,-90.01
Belle Rose,30.04,-91.05
Belmont,31.72,-93.51
Benton town,32.69,-93.74
Bernice town,32.83,-92.66
Berwick town,29.7,-91.24
Bienville village,32.36,-92.98
Blanchard town,32.61,-93.88
Bogalusa city,30.78,-89.86
Bonita village,32.92,-91.68
Boothville,29.33,-89.41
Bordelonville,31.1,-91.9
Bossier City city,32.52,-93.67
Bourg,29.56,-90.61
Boutte,29.88,-90.39
Boyce town,31.39,-92.67
Branch,30.35,-92.28
Breaux Bridge city,30.28,-91.9
Bridge City,29.93,-90.16
Broussard city,30.14,-91.95
Brownfields,30.55,-91.12
Brownsville,32.49,-92.16
Brusly town,30.39,-91.25
Bryceland village,32.45,-92.99
Bunkie city,30.95,-92.19
Buras,29.35,-89.52
Cade,30.09,-91.9
Calhoun,32.52,-92.35
Calvin village,31.96,-92.78
Cameron,29.79,-93.29
Campti town,31.9,-93.12
Cankton village,30.35,-92.11
Carencro city,30.31,-92.04
Carlyss,30.18,-93.37
Castor village,32.25,-93.17
Catahoula,30.21,-91.71
Cecilia,30.34,-91.85
Center Point,31.25,-92.21
Central city,30.56,-91.04
Chackbay,29.88,-90.77
Chalmette,29.94,-89.97
Charenton,29.87,-91.54
Chataignier village,30.57,-92.32
Chatham town,32.31,-92.45
Chauvin,29.45,-90.59
Cheneyville town,31.01,-92.29
Choctaw,29.85,-90.72
Choudrant village,32.55,-92.51
Church Point town,30.4,-92.21
Claiborne,32.54,-92.2
Clarence village,31.82,-93.03
Clarks village,32.03,-92.14
Clayton town,31.72,-91.54
Clinton town,30.86,-91.01
Colfax town,31.52,-92.7
Collinston village,32.69,-91.87
